HWT,BWT,SEX
2.00E+00,7.00E+00,F
2.00E+00,7.40E+00,F
2.00E+00,9.50E+00,F
2.10E+00,7.20E+00,F
2.10E+00,7.30E+00,F
2.10E+00,7.60E+00,F
2.10E+00,8.10E+00,F
2.10E+00,8.20E+00,F
2.10E+00,8.30E+00,F
2.10E+00,8.50E+00,F
2.10E+00,8.70E+00,F
2.10E+00,9.80E+00,F
2.20E+00,7.10E+00,F
2.20E+00,8.70E+00,F
2.20E+00,9.10E+00,F
2.20E+00,9.70E+00,F
2.20E+00,1.09E+01,F
2.20E+00,1.10E+01,F
2.30E+00,7.30E+00,F
2.30E+00,7.90E+00,F
2.30E+00,8.40E+00,F
2.30E+00,9.00E+00,F
2.30E+00,9.00E+00,F
2.30E+00,9.50E+00,F
2.30E+00,9.60E+00,F
2.30E+00,9.70E+00,F
2.30E+00,1.01E+01,F
2.30E+00,1.01E+01,F
2.30E+00,1.06E+01,F
2.30E+00,1.12E+01,F
2.40E+00,6.30E+00,F
2.40E+00,8.70E+00,F
2.40E+00,8.80E+00,F
2.40E+00,1.02E+01,F
2.50E+00,9.00E+00,F
2.50E+00,1.09E+01,F
2.60E+00,8.70E+00,F
2.60E+00,1.01E+01,F
2.60E+00,1.01E+01,F
2.70E+00,8.50E+00,F
2.70E+00,1.02E+01,F
2.70E+00,1.08E+01,F
2.90E+00,9.90E+00,F
2.90E+00,1.01E+01,F
2.90E+00,1.01E+01,F
3.00E+00,1.06E+01,F
3.00E+00,1.30E+01,F
2.00E+00,6.50E+00,M
2.00E+00,6.50E+00,M
2.10E+00,1.01E+01,M
2.20E+00,7.20E+00,M
2.20E+00,7.60E+00,M
2.20E+00,7.90E+00,M
2.20E+00,8.50E+00,M
2.20E+00,9.10E+00,M
2.20E+00,9.60E+00,M
2.20E+00,9.60E+00,M
2.20E+00,1.07E+01,M
2.30E+00,9.60E+00,M
2.40E+00,7.30E+00,M
2.40E+00,7.90E+00,M
2.40E+00,7.90E+00,M
2.40E+00,9.10E+00,M
2.40E+00,9.30E+00,M
2.50E+00,7.90E+00,M
2.50E+00,8.60E+00,M
2.50E+00,8.80E+00,M
2.50E+00,8.80E+00,M
2.50E+00,9.30E+00,M
2.50E+00,1.10E+01,M
2.50E+00,1.27E+01,M
2.50E+00,1.27E+01,M
2.60E+00,7.70E+00,M
2.60E+00,8.30E+00,M
2.60E+00,9.40E+00,M
2.60E+00,9.40E+00,M
2.60E+00,1.05E+01,M
2.60E+00,1.15E+01,M
2.70E+00,8.00E+00,M
2.70E+00,9.00E+00,M
2.70E+00,9.60E+00,M
2.70E+00,9.60E+00,M
2.70E+00,9.80E+00,M
2.70E+00,1.04E+01,M
2.70E+00,1.11E+01,M
2.70E+00,1.20E+01,M
2.70E+00,1.25E+01,M
2.80E+00,9.10E+00,M
2.80E+00,1.00E+01,M
2.80E+00,1.02E+01,M
2.80E+00,1.14E+01,M
2.80E+00,1.20E+01,M
2.80E+00,1.33E+01,M
2.80E+00,1.35E+01,M
2.90E+00,9.40E+00,M
2.90E+00,1.01E+01,M
2.90E+00,1.06E+01,M
2.90E+00,1.13E+01,M
2.90E+00,1.18E+01,M
3.00E+00,1.00E+01,M
3.00E+00,1.04E+01,M
3.00E+00,1.06E+01,M
3.00E+00,1.16E+01,M
3.00E+00,1.22E+01,M
3.00E+00,1.24E+01,M
3.00E+00,1.27E+01,M
3.00E+00,1.33E+01,M
3.00E+00,1.38E+01,M
3.10E+00,9.90E+00,M
3.10E+00,1.15E+01,M
3.10E+00,1.21E+01,M
3.10E+00,1.25E+01,M
3.10E+00,1.30E+01,M
3.10E+00,1.43E+01,M
3.20E+00,1.16E+01,M
3.20E+00,1.19E+01,M
3.20E+00,1.23E+01,M
3.20E+00,1.30E+01,M
3.20E+00,1.35E+01,M
3.20E+00,1.36E+01,M
3.30E+00,1.15E+01,M
3.30E+00,1.20E+01,M
3.30E+00,1.41E+01,M
3.30E+00,1.49E+01,M
3.30E+00,1.54E+01,M
3.40E+00,1.12E+01,M
3.40E+00,1.22E+01,M
3.40E+00,1.24E+01,M
3.40E+00,1.28E+01,M
3.40E+00,1.44E+01,M
3.50E+00,1.17E+01,M
3.50E+00,1.29E+01,M
3.50E+00,1.56E+01,M
3.50E+00,1.57E+01,M
3.50E+00,1.72E+01,M
3.60E+00,1.18E+01,M
3.60E+00,1.33E+01,M
3.60E+00,1.48E+01,M
3.60E+00,1.50E+01,M
3.70E+00,1.10E+01,M
3.80E+00,1.48E+01,M
3.80E+00,1.68E+01,M
3.90E+00,1.44E+01,M
3.90E+00,2.05E+01,M
